trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_leg_count,block_trade_id,amount,combo_id,block_rfq_id,unix_sec
844,370717306,1749505592963,1,0.0028,0.00282886,47.9,BTC-25JUL25-150000-C,110007.51,sell,50.0,2.0,BLOCK-204145,50.0,BTC-CS-25JUL25-135000_150000,,1749505592.963
845,370722081,1749506920443,1,0.0028,0.00283088,47.92,BTC-25JUL25-150000-C,109946.07,sell,0.1,,,0.1,,,1749506920.443
846,370723499,1749507573266,0,0.0029,0.00285594,48.09,BTC-25JUL25-150000-C,110086.12,sell,0.1,,,0.1,,,1749507573.266
847,370727699,1749508886984,0,0.003,0.00296184,48.24,BTC-25JUL25-150000-C,110207.23,buy,0.1,,,0.1,,,1749508886.984
848,370727700,1749508886984,1,0.003,0.00296184,48.24,BTC-25JUL25-150000-C,110207.23,buy,0.1,,,0.1,,,1749508886.984
849,370730285,1749509850876,0,0.0031,0.00303499,48.55,BTC-25JUL25-150000-C,110176.75,sell,0.1,,,0.1,,,1749509850.876
850,370730994,1749510150922,1,0.0031,0.00309595,48.44,BTC-25JUL25-150000-C,110261.49,sell,0.1,,,0.1,,,1749510150.922
851,370731783,1749510600624,1,0.0031,0.00304528,48.68,BTC-25JUL25-150000-C,110064.16,sell,0.1,,,0.1,,,1749510600.624
852,370732214,1749510819692,2,0.003,0.00302637,48.52,BTC-25JUL25-150000-C,109942.92,sell,2.0,,,2.0,,,1749510819.692
853,370736688,1749513656711,3,0.003,0.00295608,48.21,BTC-25JUL25-150000-C,110238.87,sell,0.1,,,0.1,,,1749513656.711
854,370738006,1749514565534,3,0.003,0.00296258,48.4,BTC-25JUL25-150000-C,110068.73,sell,0.1,,,0.1,,,1749514565.534
855,370738367,1749514920734,3,0.003,0.00300586,48.41,BTC-25JUL25-150000-C,110056.49,sell,0.1,,,0.1,,,1749514920.734
856,370741816,1749517135978,2,0.0029,0.00293232,48.21,BTC-25JUL25-150000-C,109990.04,sell,0.1,,,0.1,,,1749517135.978
857,370742217,1749517436161,3,0.0029,0.00289823,48.34,BTC-25JUL25-150000-C,109894.58,sell,0.1,,,0.1,,,1749517436.161
858,370742739,1749517870168,3,0.0029,0.00291137,48.36,BTC-25JUL25-150000-C,109879.93,sell,0.1,,,0.1,,,1749517870.168
859,370749692,1749523748431,3,0.0029,0.0028284,48.62,BTC-25JUL25-150000-C,109672.08,sell,0.1,,,0.1,,,1749523748.431
860,370751269,1749524914943,2,0.0028,0.00277143,48.58,BTC-25JUL25-150000-C,109441.86,sell,0.1,,,0.1,,,1749524914.943
861,370754973,1749528815302,3,0.0028,0.00278332,48.54,BTC-25JUL25-150000-C,109503.35,sell,0.1,,,0.1,,,1749528815.302
862,370761672,1749535700071,2,0.0026,0.00265738,48.25,BTC-25JUL25-150000-C,109210.96,sell,0.1,,,0.1,,,1749535700.071
863,370761678,1749535717692,2,0.0025,0.00265367,47.92,BTC-25JUL25-150000-C,109206.73,sell,9.9,,,9.9,,,1749535717.692
864,370768841,1749541017871,0,0.0028,0.00276013,48.9,BTC-25JUL25-150000-C,109260.44,sell,0.1,,,0.1,,,1749541017.871
865,370793494,1749558148090,1,0.0028,0.002809,48.58,BTC-25JUL25-150000-C,109545.62,sell,1.0,,,1.0,,,1749558148.09
