"Date (UTC)","Timestamp (UTC)","150k","120k","115k","110k","100k","95k","90k","60k"
"06-07-2025 09:00","1749286808","0.012","0.175","0.345","0.615","0.625","0.315","0.135","0.005"
"06-07-2025 10:00","1749290407","0.0115","0.175","0.35","0.615","0.615","0.315","0.13","0.0045"
"06-07-2025 11:00","1749294007","0.012","0.165","0.355","0.635","0.595","0.305","0.13","0.005"
"06-07-2025 12:00","1749297608","0.013","0.165","0.35","0.635","0.595","0.295","0.13","0.005"
"06-07-2025 13:00","1749301207","0.012","0.175","0.365","0.66","0.57","0.29","0.125","0.005"
"06-07-2025 14:00","1749304807","0.013","0.175","0.365","0.665","0.57","0.275","0.125","0.005"
"06-07-2025 15:00","1749308408","0.013","0.19","0.37","0.665","0.58","0.285","0.125","0.0055"
"06-07-2025 16:00","1749312006","0.0125","0.19","0.375","0.67","0.575","0.285","0.115","0.0055"
"06-07-2025 17:00","1749315607","0.0135","0.185","0.365","0.655","0.58","0.285","0.115","0.0055"
"06-07-2025 18:00","1749319207","0.0135","0.185","0.36","0.66","0.57","0.275","0.115","0.0055"
"06-07-2025 19:00","1749322807","0.0135","0.195","0.37","0.67","0.565","0.275","0.115","0.0055"
"06-07-2025 20:00","1749326408","0.0135","0.195","0.37","0.68","0.565","0.265","0.115","0.0055"
"06-07-2025 21:00","1749330008","0.0135","0.2","0.38","0.69","0.55","0.255","0.11","0.0055"
"06-07-2025 22:00","1749333607","0.0135","0.2","0.39","0.685","0.56","0.27","0.11","0.0055"
"06-07-2025 23:00","1749337207","0.0135","0.205","0.405","0.695","0.56","0.27","0.115","0.0055"
"06-08-2025 00:00","1749340807","0.0135","0.19","0.39","0.675","0.57","0.28","0.12","0.0055"
"06-08-2025 01:00","1749344407","0.0125","0.19","0.385","0.665","0.58","0.295","0.115","0.0055"
"06-08-2025 02:00","1749348007","0.012","0.19","0.39","0.68","0.565","0.275","0.115","0.0055"
