trade_id,strike,entry_time,exit_time,trade_type,entry_poly_prob,exit_poly_prob,divergence_at_entry,divergence_at_exit,units,investment_amount,pnl,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot
93,100000.0,2025-06-09 15:00:00+00:00,2025-06-09 21:00:00+00:00,YES,0.395,0.345,-0.05798610129842,-0.0002620346456133,600.6129230767042,237.24210461529816,-43.36425304613806,convergence,9668.166001191563,9819.267692208683
94,115000.0,2025-06-09 18:00:00+00:00,2025-06-09 21:00:00+00:00,YES,0.495,0.555,-0.0628134090866062,-0.0150562598975991,506.25642554775953,250.59693064614098,14.428308128111155,convergence,9940.7091478852,9574.908324454926
90,110000.0,2025-06-09 14:00:00+00:00,2025-06-09 22:00:00+00:00,YES,0.75,0.9995,-0.0924459082932822,-0.0004999999999999,535.5391642108538,401.65437315814034,105.50924843700136,convergence,10459.922400675086,10427.400340114198
96,115000.0,2025-06-09 22:00:00+00:00,2025-06-10 00:00:00+00:00,NO,0.62,0.645,0.0502863029547349,-0.0257441627631151,561.3099998738246,213.29779995205337,-26.40963549406348,convergence,10153.593462879004,10180.003098373068
77,120000.0,2025-06-08 00:00:00+00:00,2025-06-10 01:00:00+00:00,YES,0.19,0.32,-0.0441507106102146,-0.0655650867233083,1009.8819147034828,191.87756379366175,115.83345561648952,max_hold,10467.060809202965,10430.322564236296
97,115000.0,2025-06-10 01:00:00+00:00,2025-06-10 03:00:00+00:00,YES,0.61,0.6,-0.0604678952718619,-0.0212537552939634,432.32318088462773,263.7171403396229,-20.01656327495826,convergence,10160.161610426556,10467.060809202965
99,95000.0,2025-06-10 03:00:00+00:00,2025-06-10 06:00:00+00:00,YES,0.135,0.14,-0.0442793302839622,-0.0252622851384548,1388.534418785527,187.45214653604614,-4.512736861052957,convergence,10155.648873565502,10160.161610426556
98,120000.0,2025-06-10 01:00:00+00:00,2025-06-10 08:00:00+00:00,YES,0.32,0.315,-0.0655650867233083,-0.0264837687277486,870.3963455747918,278.52683058393336,-20.933032111073715,convergence,10421.59847695588,10195.432154653154
100,120000.0,2025-06-10 09:00:00+00:00,2025-06-10 12:00:00+00:00,YES,0.295,0.315,-0.0460431963764322,-0.024715967601254,677.7453463711954,199.93487717950265,1.1521670888310496,convergence,10422.750644044712,10421.59847695588
95,100000.0,2025-06-09 22:00:00+00:00,2025-06-10 15:00:00+00:00,YES,0.29,0.375,-0.0623560219675146,-0.0176805730268521,937.1252169468302,271.76631291458074,60.95999536239134,convergence,10570.84355164494,10459.922400675086
101,95000.0,2025-06-10 13:00:00+00:00,2025-06-10 17:00:00+00:00,YES,0.14,0.155,-0.0430990840437554,-0.0299103807691193,1336.9375177821096,187.17125248949534,8.222165734359976,convergence,10369.948406471796,10422.750644044712
103,100000.0,2025-06-10 16:00:00+00:00,2025-06-10 17:00:00+00:00,YES,0.35,0.37,-0.0422389170500305,-0.0258703070056399,520.7797470705134,182.2729114746797,-0.8332475953128267,convergence,10556.856257695403,10356.680949492176
105,115000.0,2025-06-10 19:00:00+00:00,2025-06-10 21:00:00+00:00,YES,0.605,0.63,-0.0538367507143193,-0.007143966686169,384.01833790247133,232.33109443099517,-4.627420971724774,convergence,10352.510022059016,10357.13744303074
106,100000.0,2025-06-10 21:00:00+00:00,2025-06-10 23:00:00+00:00,YES,0.3,0.32,-0.0559702727584995,-0.0117342501549145,804.7677912079762,241.43033736239286,1.1266749076911537,convergence,10353.636696966707,10352.510022059016
104,95000.0,2025-06-10 19:00:00+00:00,2025-06-11 02:00:00+00:00,YES,0.14,0.135,-0.0440817054798505,-0.0259956150485828,1385.012584359659,193.9017618103523,-18.351416742765508,convergence,10329.157230974371,10556.856257695403
108,115000.0,2025-06-11 02:00:00+00:00,2025-06-11 04:00:00+00:00,YES,0.595,0.605,-0.0460684521987123,-0.0176826109827528,333.2270911401445,198.270119228386,-8.663904369643802,convergence,10320.493326604728,10329.157230974371
